City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
225,Faanui,PF,77.02,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
227,Nobres,BR,72.99,overcast clouds,-14.7203,-56.3275,Hotel Portal Nobres
228,Mayumba,GA,76.77,light rain,-3.432,10.6554,LIKWALE LODGE
231,Lompoc,US,71.74,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
232,Touros,BR,81.5,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
233,Sahiwal,PK,65.55,clear sky,30.6667,73.1,Hussain Abad Colony
235,Simpang,ID,74.19,overcast clouds,-1.2667,104.0833,
236,Vila Velha,BR,80.55,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
238,Mopti,ML,89.64,broken clouds,14.6667,-4.0,
242,Feijo,BR,89.42,overcast clouds,-8.1642,-70.3536,Hotel e Restaurante Aҫai
244,Hobyo,SO,79.34,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
247,Sur,OM,81.57,clear sky,22.5667,59.5289,Sur Plaza Hotel
248,Kapiri Mposhi,ZM,74.66,broken clouds,-13.9652,28.6809,MA 22 LODGE
249,Toowoomba,AU,65.25,broken clouds,-27.55,151.9667,Toowoomba Central Plaza Apartment Hotel
250,Nouadhibou,MR,71.58,broken clouds,20.931,-17.0347,El Medina
252,Safaga,EG,75.43,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
253,Ternate,ID,79.93,broken clouds,0.8,127.4,Grand Dafam Bela Ternate
255,Kroya,ID,78.13,overcast clouds,-7.6331,109.2461,RUSTANTO Fam
261,Akyab,MM,76.23,overcast clouds,20.15,92.9,Hotel Memory
262,Nuevitas,CU,82.02,overcast clouds,21.5453,-77.2644,Hotel Caonaba
263,Cayenne,GF,82.09,heavy intensity rain,4.9333,-52.3333,Hôtel Le Dronmi
265,Yaring,TH,77.97,overcast clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
267,Kualakapuas,ID,75.36,broken clouds,-3.0091,114.3876,Guest House Izonk
268,Gizo,SB,83.21,scattered clouds,-8.103,156.8419,Imagination Island
270,Ahipara,NZ,65.98,few clouds,-35.1667,173.1667,Ahipara Holiday Park
274,Inhambane,MZ,72.93,light rain,-23.865,35.3833,Oceano
278,Batesville,US,82.83,broken clouds,35.7698,-91.641,"Holiday Inn Express & Suites Batesville, an IHG Hotel"
280,Mount Isa,AU,78.57,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
283,Chimbote,PE,66.42,clear sky,-9.0853,-78.5783,Hotel Viera Chimbote
284,Binga,ZW,80.42,few clouds,-17.6203,27.3414,Lakeview Inn Binga
285,Chirongui,YT,80.53,scattered clouds,-12.9319,45.1483,La Villa Mahatsara
