City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
225,Hamilton,US,39.1834,-84.5333,67.71,96,75,1.01,broken clouds
226,North Charleston,US,32.8886,-80.0075,83.01,65,75,10.36,broken clouds
227,Kaeo,NZ,-35.1,173.7833,59.32,98,8,2.35,clear sky
228,Santa Cruz,BO,-17.8,-63.1667,84.25,34,75,13.8,broken clouds
229,Kabanjahe,ID,3.1001,98.4908,63.36,97,99,2.98,overcast clouds
230,Santa Rosa,PH,14.3122,121.1114,78.78,86,92,7.9,overcast clouds
231,Ponta Do Sol,PT,32.6667,-17.1,70.43,59,97,5.75,overcast clouds
232,Biltine,TD,14.5333,20.9167,87.69,19,10,15.75,clear sky
233,La Ronge,CA,55.1001,-105.2842,39.45,75,75,17.27,broken clouds
234,Walvis Bay,NA,-22.9575,14.5053,60.1,82,0,6.91,clear sky
235,Zeerust,ZA,-25.5369,26.0751,68.81,15,58,6.2,broken clouds
236,Horsham,GB,51.064,-0.3272,58.24,91,75,6.91,broken clouds
237,Havoysund,NO,70.9963,24.6622,30.43,78,81,12.21,broken clouds
238,Sabha,LY,27.0377,14.4283,83.48,15,10,9.46,clear sky
239,Ust-Kuyga,RU,70.0167,135.6,3.61,97,100,1.83,overcast clouds
240,Tibacuy,CO,4.3511,-72.4564,87.31,63,100,7.43,overcast clouds
241,Severnyy,RU,50.677,36.5532,41.04,70,0,13.42,clear sky
242,Chuy,UY,-33.6971,-53.4616,68.77,41,0,11.18,clear sky
243,Lagoa,PT,39.05,-27.9833,66.0,71,9,11.45,clear sky
244,Rio Branco,BR,-9.9747,-67.81,93.81,55,75,9.22,broken clouds
245,Gander,CA,48.9682,-54.5906,57.33,87,75,11.01,broken clouds
246,Clyde River,CA,70.4692,-68.5914,12.15,80,65,4.18,broken clouds
247,Hauterive,FR,46.0901,3.4459,48.96,78,0,3.4,clear sky
248,Burns Lake,CA,54.2331,-125.7533,35.02,62,100,5.95,overcast clouds
249,Ornskoldsvik,SE,63.2909,18.7153,35.42,100,75,2.3,light intensity drizzle
250,Hambantota,LK,6.1241,81.1185,79.59,78,100,8.1,overcast clouds
251,Morro Bay,US,35.3658,-120.8499,70.72,79,100,1.99,overcast clouds
252,Santa Cruz Del Sur,CU,20.7147,-77.9956,84.4,68,83,4.99,light rain
253,Fort Nelson,CA,58.8053,-122.7002,27.99,100,40,3.44,scattered clouds
254,Shaowu,CN,27.3409,117.4831,53.78,97,44,1.88,light rain
255,Alofi,NU,-19.0595,-169.9187,76.89,61,97,14.97,overcast clouds
256,Sorong,ID,-0.8833,131.25,79.54,82,95,7.49,overcast clouds
257,Akdepe,TM,42.0551,59.3788,46.49,25,100,3.42,overcast clouds
258,Shelburne,CA,44.0787,-80.2041,53.76,54,76,7.38,broken clouds
259,Athabasca,CA,54.7169,-113.2854,41.83,77,97,6.33,overcast clouds
260,Orvault,FR,47.271,-1.6219,58.89,89,90,5.75,overcast clouds
261,Mareeba,AU,-17.0,145.4333,66.92,95,10,2.62,clear sky
262,Kuliyapitiya,LK,7.4688,80.0401,76.68,93,100,3.04,heavy intensity rain
263,Billings,US,45.7833,-108.5007,63.37,41,20,4.61,few clouds
264,Porto Belo,BR,-27.1578,-48.5531,73.8,69,88,16.71,overcast clouds
